ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,NoOfInveters ,NoOfPanels,Tags,SolarSystem
6001-7200,60kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,1,0-120 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,1kW Hybrid | 1 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
121-240,2kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,2,121-240 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,2kW Hybrid | 2 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
241-420,3.5kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,4,241-420 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
421-480,4kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,4,421-480 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,4kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
481-600,5kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,5,481-600 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,5kW Hybrid | 5 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
601-900,7.5kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,7,601-900 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
901-960,8kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,8,901-960 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,8kW Hybrid | 8 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
961-1200,10kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1,10,961-1200 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,10kW Hybrid | 10 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1201-1800,15kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,2,2,15,1201-1800 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,15kW Hybrid | 15 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1801-2400,20kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,2,2,20,1801-2400 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,20kW Hybrid | 20 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
2401-3600,30kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,3,3,30,2401-3600 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,30kW Hybrid | 30 solar panel- Canadian Solar Canada | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
3601-4800,40kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,4,4,40,3601-4800 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,40kW Hybrid | 40 solar panel- Canadian Solar Canada | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
4801-6000,50kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,5,5,50,4801-6000 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,50kW Hybrid | 50 solar panel- Canadian Solar Canada | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
6001-7200,60kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,1,0-120 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,1kW Hybrid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
121-240,2kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,2,121-240 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,2kW Hybrid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,4,241-420 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
421-480,4kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,4,421-480 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,4kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
481-600,5kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,5,481-600 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,5kW Hybrid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,7,601-900 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
901-960,8kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,8,901-960 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,8kW Hybrid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
961-1200,10kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,1,10,961-1200 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,10kW Hybrid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,2,2,15,1201-1800 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,15kW Hybrid | 15 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1801-2400,20kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,2,2,20,1801-2400 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,20kW Hybrid | 20 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
2401-3600,30kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,3,3,30,2401-3600 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,30kW Hybrid | 30 solar panel- Canadian Solar Canada | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion 
3601-4800,40kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,4,4,40,3601-4800 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Canadian Solar Canada | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion 
4801-6000,50kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,5,5,50,4801-6000 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Canadian Solar Canada | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion 
6001-7200,60kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,1,0-120 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
121-240,2kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,2,121-240 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,4,241-420 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
421-480,4kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,4,421-480 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
481-600,5kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,5,481-600 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,7,601-900 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
901-960,8kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,8,901-960 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
961-1200,10kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,1,10,961-1200 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,2,2,15,1201-1800 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
1801-2400,20kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,2,2,20,1801-2400 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
2401-3600,30kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,3,3,30,2401-3600 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
3601-4800,40kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,4,4,40,3601-4800 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
4801-6000,50kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,5,5,50,4801-6000 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
6001-7200,60kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - Goodwee China | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,1,0-120 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
121-240,2kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,2,121-240 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
241-420,3.5kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,4,241-420 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
421-480,4kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,4,421-480 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
481-600,5kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,5,481-600 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
601-900,7.5kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,7,601-900 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
901-960,8kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,8,901-960 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
961-1200,10kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1,10,961-1200 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
1201-1800,15kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,2,2,15,1201-1800 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
1801-2400,20kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,2,2,20,1801-2400 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
2401-3600,30kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,3,3,30,2401-3600 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
3601-4800,40kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,4,4,40,3601-4800 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
4801-6000,50kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,5,5,50,4801-6000 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
6001-7200,60kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,1,0-120 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
121-240,2kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,2,121-240 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
241-420,3.5kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,4,241-420 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
421-480,4kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,4,421-480 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
481-600,5kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,5,481-600 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
601-900,7.5kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,7,601-900 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
901-960,8kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,8,901-960 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
961-1200,10kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1,10,961-1200 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1201-1800,15kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,2,2,15,1201-1800 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
1801-2400,20kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,2,2,20,1801-2400 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
2401-3600,30kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,3,3,30,2401-3600 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
3601-4800,40kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,4,4,40,3601-4800 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
4801-6000,50kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,5,5,50,4801-6000 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
6001-7200,60kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,1,0-120 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
121-240,2kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,2,121-240 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
241-420,3.5kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,4,241-420 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
421-480,4kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,4,421-480 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
481-600,5kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,5,481-600 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
601-900,7.5kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,7,601-900 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
901-960,8kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,8,901-960 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
961-1200,10kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,1,1,10,961-1200 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1201-1800,15kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,2,2,15,1201-1800 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
1801-2400,20kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,2,2,20,1801-2400 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion 
2401-3600,30kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,3,3,30,2401-3600 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion 
3601-4800,40kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,4,4,40,3601-4800 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion 
4801-6000,50kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,5,5,50,4801-6000 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion 
6001-7200,60kW,Hybrid,Panasonic Japan,Growatt China,LFP Lithium-ion,6,6,60,6001-7200 Hybrid Panasonic Japan Growatt China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion 
0-120,1kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,1,1,1,0-120 Hybrid JA Solar China Goodwee China Lead Acid,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
121-240,2kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,1,1,2,121-240 Hybrid JA Solar China Goodwee China Lead Acid,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
241-420,3.5kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,2,1,4,241-420 Hybrid JA Solar China Goodwee China Lead Acid,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
421-480,4kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,2,1,4,421-480 Hybrid JA Solar China Goodwee China Lead Acid,4kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
481-600,5kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,3,1,5,481-600 Hybrid JA Solar China Goodwee China Lead Acid,5kW Hybrid | 5 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
601-900,7.5kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,4,1,7,601-900 Hybrid JA Solar China Goodwee China Lead Acid,7.5kW Hybrid | 7 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
901-960,8kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,4,1,8,901-960 Hybrid JA Solar China Goodwee China Lead Acid,8kW Hybrid | 8 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
961-1200,10kW,Hybrid,JA Solar China,Goodwee China,Lead Acid,5,1,10,961-1200 Hybrid JA Solar China Goodwee China Lead Acid,10kW Hybrid | 10 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid 
0-120,1kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,1,1,1,0-120 Hybrid JA Solar China SMA Germany  Lead Acid,1kW Hybrid | 1 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid 
121-240,2kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,1,1,2,121-240 Hybrid JA Solar China SMA Germany  Lead Acid,2kW Hybrid | 2 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid 
241-420,3.5kW,Hybrid,JA Solar China,SMA Germany ,Lead Acid,2,1,4,241-420 Hybrid JA Solar China SMA Germany  Lead Acid,3.5kW Hybrid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid 
